,1RM,Øvelseskategori,Dag/Øvelse,Sett,Reps,RPE,-,RPE_h,%,Vekt,-,0,Kommentar
,,,Dag 2,,,,,,,,,,Strava: https://www.strava.com/activities/18634110262
,,,benkpress,1,6,,-,, ,60,-,0,
,,,benkpress,1,6,,-,, ,80,-,0,
,,,benkpress,1,3,5,-,5,,90,-,0,
,,,benkpress,2,3,5,-,5,,90,-,0,
,,,benkpress,3,3,5,-,5,,90,-,0,
,,,benkpress,4,3,5,-,5,,90,-,0,
,,,benkpress,1,6,,-,, ,60,-,0,
,,,En-arms roing m/hantel,1,12,,-,, ,20,-,0,
,,,En-arms roing m/hantel,2,12,,-,, ,20,-,0,
,,,Dumbbell Biceps Curl,1,10,,-,, ,10,-,0,
,,,Dumbbell Biceps Curl,2,10,,-,, ,10,-,0,
,,,Dumbbell Biceps Curl,3,10,,-,, ,10,-,0,
