,,,Pushe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hvor restituert føler du deg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hvor mange timer sov du i natt?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Hvor stresset føler du deg?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1RM,Øvelseskategori,Dag 1,Sett,Reps,RPE,,,%,Vekt,,,Kommentar,"Knebøy, konkstil",Sett,1,2,3,4,5,6,7,8,Franskpress,Sett,1,2,3,4,5,6,7,8,,,,Dag 1,,,,,,,,Stats pr sett,Sett 1,Sett 2,Sett 3,Sett 4,Sett 5,Sett 6,Sett 7,Sett 8,,Dag 1,,,,,,,,Stats pr sett,Sett 1,Sett 2,Sett 3,Sett 4,Sett 5,Sett 6,Sett 7,Sett 8
,0,Knebøy,"Knebøy, konkstil",1,2,6,,,"84,00%",0,-,0,,E1RM,KG,,,,,,,,,E1RM,KG,,,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,,,Øvelseskategori,Øvelse,Antall sett,Antall reps,Tonnasje,Tonnasje_Relativ,MI,E1RM_peak,E1RM,,,,,,,,
