,1RM,Øvelseskategori,Dag/Øvelse,Sett,Reps,RPE,-,RPE_h,%,Vekt,-,0,Kommentar
,,,Dag 2,,,,,,,,,,
,,,Benkpress u/stopp,1,8,,-,,,60,,0,Uke 2
,,,Benkpress u/stopp,1,3,,-,,,90,,0,
,,,Benkpress u/stopp,2,3,,-,,,90,,0,
,,,Benkpress u/stopp,3,3,,-,,,90,,0,
,,,Benkpress u/stopp,4,3,,-,,,90,,0,
,,,En-arms roing m/hantel,1,12,,-,,,20,,0,
,,,En-arms roing m/hantel,2,12,,-,,,20,,0,
,,,Dumbbell Biceps Curl,1,10,,-,,,10,,0,
,,,Dumbbell Biceps Curl,2,10,,-,,,10,,0,
,,,Dumbbell Biceps Curl,3,10,,-,,,10,,0,
