,1RM,Øvelseskategori,Dag/Øvelse,Sett,Reps,RPE,-,RPE_h,%,Vekt,-,0,Kommentar
,,,Dag 3,,,,,,,,,,
,,09,,1,8,,-,,,60,,0,Uke 3
,,09,,2,8,,-,,,60,,0,Uke 3
,,09,,3,8,,-,,,60,,0,Uke 3
,,10,,1,8,,-,,,26,,0,Uke 3
,,10,,1,8,,-,,,30,,0,Uke 3
,,10,,2,8,,-,,,30,,0,Uke 3
,,12,,1,12,,-,,,40,,0,Uke 3
,,12,,2,12,,-,,,40,,0,Uke 3
,,11,,1,8,,-,,,40,,0,sitting row, Uke 3
,,11,,2,8,,-,,,40,,0,sitting row, Uke 3
,,11,,3,8,,-,,,40,,0,sitting row, Uke 3
