,1RM,Øvelseskategori,Dag/Øvelse,Sett,Reps,RPE,-,RPE_h,%,Vekt,-,0,Kommentar
,,,Dag 1,,,,,,,,,,
,,02,,1,6,,-,,,60,,0,Uke 3
,,02,,1,4,,-,,,80,,0,Uke 3
,,02,,1,4,,-,,,90,,0,Uke 3
,,02,,2,4,,-,,,90,,0,Uke 3
,,02,,3,4,,-,,,90,,0,Uke 3
,,02,,4,4,,-,,,90,,0,Uke 3
,,02,,5,4,,-,,,90,,0,Uke 3
,,03,,1,8,,-,,,20,,0,
,,03,,1,8,,-,,,24,,0,
,,03,,2,8,,-,,,24,,0,
,,04,,1,8,,-,,,45,,0,
,,04,,2,8,,-,,,45,,0,
,,04,,3,8,,-,,,45,,0,
