,1RM,Øvelseskategori,Dag/Øvelse,Sett,Reps,RPE,-,RPE_h,%,Vekt,-,0,Kommentar
,,,Dag 2,,,,,,,,,,
,,06,,1,8,,-,,,60,,0,Uke 3
,,06,,1,6,,-,,,80,,0,Uke 3
,,06,,1,3,,-,,,95,,0,Uke 3
,,06,,2,3,,-,,,95,,0,Uke 3
,,06,,3,3,,-,,,95,,0,Uke 3
,,06,,4,3,,-,,,95,,0,Uke 3
,,07,,1,12,,-,,,20,,0,Uke 3
,,07,,2,12,,-,,,20,,0,Uke 3
,,08,,1,10,,-,,,10,,0,Uke 3
,,08,,2,10,,-,,,10,,0,Uke 3
,,08,,3,10,,-,,,10,,0,Uke 3
